City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,100,AR,1713758915,96,-54.8,-68.3,33.98,4.68
1,Edinburgh of the Seven Seas,45,SH,1713758915,89,-37.0676,-12.3116,63.75,22.41
2,Xiuyan,74,CN,1713758915,55,40.2928,123.2744,67.03,11.41
3,Ribeira Grande,100,PT,1713758916,76,38.5167,-28.7,58.75,9.33
4,Sim,100,RU,1713758917,64,54.993,57.6982,66.36,3.58
5,Quesnel,100,CA,1713758917,38,52.9999,-122.5029,44.89,8.95
6,Port-aux-Français,9,TF,1713758918,74,-49.35,70.2167,41.34,27.6
7,Tamanghasset,100,DZ,1713758918,11,22.785,5.5228,72.27,9.62
8,Albany,2,US,1713758762,70,42.6001,-73.9662,35.74,8.7
9,Saint Paul Harbor,97,US,1713758919,86,57.79,-152.4072,38.68,4.25
10,San Patricio,15,US,1713758920,71,28.017,-97.5169,62.37,9.37
11,Acapulco de Juárez,0,MX,1713758920,69,16.8634,-99.8901,73.06,2.06
12,Olonkinbyen,100,SJ,1713758921,84,70.9221,-8.7187,22.68,36.69
13,Puerto Ayora,57,EC,1713758921,89,-0.7393,-90.3518,76.23,7.14
14,Powell River,24,CA,1713758922,69,49.8496,-124.5361,48.56,5.37
15,Grytviken,100,GS,1713758923,86,-54.2811,-36.5092,37.02,9.51
16,West Island,59,CC,1713758923,82,-12.1568,96.8225,80.76,22.97
17,La Carlota,40,PH,1713758924,63,10.4233,122.9208,89.22,13.11
18,Tucuruí,100,BR,1713758924,99,-3.7661,-49.6725,74.39,0.63
19,Chyorny Yar,3,RU,1713758925,64,48.0624,46.1091,63.45,18.61
20,Thompson,100,CA,1713758925,97,55.7435,-97.8558,30.61,3.8
21,Ilulissat,100,GL,1713758926,91,69.2167,-51.1,27.64,4.47
22,Peace River,100,CA,1713758926,37,56.2501,-117.286,52.16,12.15
23,Qaqortoq,100,GL,1713758927,88,60.7167,-46.0333,30.04,4.32
24,Plouzané,8,FR,1713758927,75,48.3833,-4.6167,44.53,8.32
25,Klyuchi,44,RU,1713758928,46,52.2667,79.1667,62.15,15.57
26,Adamstown,34,PN,1713758928,74,-25.066,-130.1015,72.09,23.94
27,Mando,85,NG,1713758929,78,10.7167,6.5667,76.96,4.23
28,Zakamensk,35,RU,1713758929,34,50.3741,103.2863,44.58,9.66
29,Knyaze-Volkonskoye,92,RU,1713758929,50,48.4642,135.4567,53.87,12.01
30,Caucayá,98,CO,1713758930,99,-0.1934,-74.7819,74.07,2.82
31,Kavieng,51,PG,1713758930,65,-2.5744,150.7967,86.65,8.5
32,New Norfolk,31,AU,1713758931,42,-42.7826,147.0587,70.14,3.78
33,Porto-Novo,100,BJ,1713758931,86,6.4965,2.6036,80.74,4.7
34,Iskateley,100,RU,1713758932,96,67.6803,53.1512,7.0,3.65
35,Tangalle,100,LK,1713758933,60,6.024,80.7911,88.95,3.24
36,Atafu Village,21,TK,1713758933,76,-8.5421,-172.5159,85.26,9.69
37,Stanley,100,GB,1713758934,96,54.868,-1.6985,38.66,3.4
38,Invercargill,15,NZ,1713758934,66,-46.4,168.35,51.15,9.17
39,St. John's,73,CA,1713758935,92,47.5649,-52.7093,35.78,3.4
40,Constanța,100,RO,1713758935,86,44.1833,28.65,53.29,21.54
41,Pacific Grove,18,US,1713758756,90,36.6177,-121.9166,53.13,1.86
42,Selkirk,41,CA,1713758936,48,50.1436,-96.8845,46.85,6.73
43,Waitangi,49,NZ,1713758936,84,-43.9535,-176.5597,55.45,31.34
44,Bilibino,25,RU,1713758937,64,68.0546,166.4372,22.59,2.71
45,Blackmans Bay,10,AU,1713758673,55,-43.0167,147.3167,63.77,3.67
46,Muhafazat Ma'rib,98,YE,1713758938,47,15.4591,45.3253,79.39,3.71
47,Beyneu,3,KZ,1713758939,29,45.3167,55.2,73.27,18.7
48,Quiruvilca,100,PE,1713758939,91,-7.9667,-78.2,40.19,1.9
49,Geraldton,7,AU,1713758940,54,-28.7667,114.6,74.53,22.08
50,Hawaiian Paradise Park,1,US,1713758940,75,19.5933,-154.9731,73.15,12.24
51,Ubinskoye,94,RU,1713758941,74,55.3068,79.6802,40.78,14.54
52,Cartagena del Chairá,76,CO,1713758941,99,1.3349,-74.8429,72.95,1.72
53,Pisco,20,PE,1713758942,89,-13.7,-76.2167,68.58,1.23
54,Codrington,0,AU,1713758943,31,-38.2667,141.9667,70.39,8.84
55,Paracuru,100,BR,1713758943,90,-3.41,-39.0306,77.41,5.21
56,Gadzhiyevo,62,RU,1713758944,89,69.2551,33.3362,9.19,11.43
57,Bengkulu,76,ID,1713758944,67,-3.8004,102.2655,86.63,4.7
58,Fale old settlement,63,TK,1713758945,75,-9.3852,-171.2468,85.8,9.26
59,Mashava,0,ZW,1713758945,65,-20.0367,30.4823,56.73,2.39
60,Avesta,86,SE,1713758945,81,60.1455,16.1679,25.65,8.77
61,Leh,67,IN,1713758946,68,34.1667,77.5833,28.08,3.91
62,Punta del Este,100,UY,1713758946,76,-34.9667,-54.95,64.02,22.46
63,Port Alfred,100,ZA,1713758947,93,-33.5906,26.891,72.07,20.02
64,Lompoc,0,US,1713758943,94,34.6391,-120.4579,53.58,5.93
65,Lebu,100,CL,1713758948,97,-37.6167,-73.65,53.58,5.17
66,Lunsar,98,SL,1713758948,87,8.6833,-12.5333,77.99,2.42
67,Carnarvon,0,AU,1713758949,37,-24.8667,113.6333,81.97,16.71
68,Haiku-Pauwela,38,US,1713758949,76,20.9219,-156.3051,71.51,14.61
69,Naryan-Mar,96,RU,1713758950,96,67.6713,53.087,7.2,3.94
70,Utrik,95,MH,1713758950,78,11.2278,169.8474,81.34,16.8
71,Wailua Homesteads,42,US,1713758951,70,22.0669,-159.378,71.78,13.89
72,Kailua-Kona,30,US,1713758951,73,19.6406,-155.9956,75.92,3.42
73,Cooper’s Town,18,BS,1713758952,76,26.8667,-77.5167,76.26,19.08
74,Kapaa,32,US,1713758952,71,22.0752,-159.319,72.97,15.61
75,Viedma,99,AR,1713758953,76,-40.8135,-62.9967,51.15,6.13
76,Mtwara,83,TZ,1713758953,93,-10.2667,40.1833,75.34,10.92
77,Kismayo,100,SO,1713758954,92,-0.3582,42.5454,78.03,7.09
78,Yellowknife,81,CA,1713758896,92,62.456,-114.3525,33.51,9.17
79,Suva,87,FJ,1713758955,76,-18.1416,178.4415,84.45,11.81
80,Ondjiva,0,AO,1713758955,50,-17.0667,15.7333,63.77,6.53
81,Talnakh,99,RU,1713758956,88,69.4865,88.3972,8.4,4.88
82,Isafjordur,90,IS,1713758956,87,66.0755,-23.124,34.79,9.62
83,Port Elizabeth,100,ZA,1713758956,95,-33.918,25.5701,69.44,10.94
84,Berwick-Upon-Tweed,100,GB,1713758957,94,55.7833,-2.0,44.26,1.92
85,Newman,19,US,1713758957,63,37.3138,-121.0208,67.64,3.71
86,Isangel,90,VU,1713758958,79,-19.55,169.2667,82.42,9.55
87,Puerto Eldorado,0,AR,1713758958,85,-26.4084,-54.6946,63.57,2.19
88,Kyshtovka,77,RU,1713758959,69,56.555,76.6271,40.78,12.33
89,Puerto Natales,46,CL,1713758959,91,-51.7236,-72.4875,34.7,4.56
90,Kibre Mengist,100,ET,1713758960,96,5.8833,38.9833,59.36,1.79
91,Papatowai,21,NZ,1713758960,63,-46.5619,169.4708,50.7,14.94
92,Maalahti,23,FI,1713758961,81,62.9423,21.5731,22.78,6.64
93,Vila Franca do Campo,100,PT,1713758961,93,37.7167,-25.4333,61.43,2.15
94,College,84,US,1713758962,89,64.8569,-147.8028,41.49,3.15
95,Paphos,11,CY,1713758962,63,34.7667,32.4167,63.21,1.74
96,Sidon,20,LB,1713758963,61,33.5631,35.3689,63.52,4.63
97,Hamilton,79,US,1713758963,65,39.1834,-84.5333,41.5,2.66
98,Longyearbyen,98,SJ,1713758791,93,78.2186,15.6401,32.0,11.1
99,Kavaratti,37,IN,1713758964,70,10.5669,72.642,86.47,5.93
100,Tromsø,26,NO,1713758964,84,69.6496,18.957,16.27,12.82
101,Berezovyy,100,RU,1713758965,60,51.6667,135.7,45.93,2.75
102,Lata,55,PT,1713758965,62,40.1629,-8.3327,50.11,5.28
103,Tôlanaro,1,MG,1713758966,86,-25.0319,46.9987,68.77,3.2
104,Saipan,19,MP,1713758966,74,15.1355,145.701,82.24,16.22
105,Margaret River,79,AU,1713758967,41,-33.95,115.0667,64.67,17.27
106,Bluefields,19,NI,1713758967,79,12.0137,-83.7635,77.43,5.73
107,Ayoun El Atrous,35,MR,1713758968,11,16.6614,-9.6149,85.08,9.62
108,Carutapera,100,BR,1713758968,95,-1.195,-46.02,76.59,3.65
109,Bethel,77,US,1713758969,78,41.3712,-73.414,35.83,3.42
110,Bredasdorp,33,ZA,1713758969,92,-34.5322,20.0403,57.34,5.68
111,Susuman,57,RU,1713758970,80,62.7833,148.1667,27.1,1.36
112,Boquira,100,BR,1713758970,76,-12.8231,-42.7306,73.78,6.85
113,Dori,5,BF,1713758971,50,14.0354,-0.0345,86.04,17.45
114,Savanna-la-Mar,1,JM,1713758971,87,18.219,-78.1332,75.25,2.3
115,Aasiaat,100,GL,1713758972,96,68.7098,-52.8699,29.57,3.62
116,Itoman,100,JP,1713758972,85,26.1247,127.6694,78.13,9.53
117,Port Mathurin,84,MU,1713758973,79,-19.6833,63.4167,80.4,15.52
118,Turabah,1,SA,1713758973,28,21.2141,41.6331,72.23,3.38
119,Saranac Lake,44,US,1713758688,86,44.3295,-74.1313,31.71,11.54
120,Nichinan,100,JP,1713758974,63,31.6,131.3667,75.43,0.67
121,Sabha,99,LY,1713758974,12,27.0377,14.4283,79.29,14.65
122,Chuzhou,1,CN,1713758975,54,32.3219,118.2978,73.81,7.63
123,Vylkove,100,UA,1713758976,87,45.4021,29.586,51.24,13.15
124,Rongelap,94,MH,1713758976,78,11.1635,166.8941,81.5,17.25
125,Kikwit,95,CD,1713758977,83,-5.041,18.8162,74.34,2.33
126,East London,100,ZA,1713758977,92,-33.0153,27.9116,73.0,17.18
127,Bima,100,ID,1713758978,88,-8.4667,118.7167,83.05,1.72
128,Ranst,65,BE,1713758978,83,51.19,4.5677,36.81,5.28
129,Al Qūşīyah,9,EG,1713758979,25,27.4402,30.8184,69.31,4.21
130,Alice Springs,100,AU,1713758979,34,-23.7,133.8833,74.48,18.54
131,Crane,93,US,1713758980,60,31.3974,-102.3501,56.32,8.03
132,Albertina,0,BR,1713758980,83,-22.2008,-46.6158,58.06,5.84
133,Tazacorte,100,ES,1713758981,71,28.629,-17.9293,67.64,7.16
134,Port Macquarie,79,AU,1713758981,56,-31.4333,152.9167,70.59,7.61
135,Katabu,97,ID,1713758982,80,-4.9333,122.5167,85.01,3.29
136,Puerto Baquerizo Moreno,28,EC,1713758982,92,-0.9,-89.6,75.6,10.83
137,Eastham,100,US,1713758983,63,41.8301,-69.9739,45.7,15.88
138,Dusa Marreb,100,SO,1713758983,67,5.535,46.3861,79.9,1.25
139,Pangkalanbuun,100,ID,1713758984,53,-2.6833,111.6167,91.78,3.18
140,Chibougamau,15,CA,1713758984,73,49.9168,-74.3659,5.18,10.02
141,Arraial do Cabo,0,BR,1713758985,75,-22.9661,-42.0278,73.42,16.49
142,Kaa-Khem,100,RU,1713758985,84,51.6833,94.7333,34.74,2.77
143,Mammoth Lakes,25,US,1713758986,78,37.6485,-118.9721,40.28,5.3
144,Vadsø,2,NO,1713758986,73,70.0744,29.7487,22.71,20.42
145,Weyburn,100,CA,1713758987,34,49.6668,-103.8511,52.45,10.8
146,Punta Arenas,88,CL,1713758987,83,-53.15,-70.9167,42.48,8.95
147,Wexford,81,IE,1713758988,79,52.3342,-6.4575,48.16,4.9
148,Margate,9,GB,1713758988,75,51.3813,1.3862,43.12,14.38
149,Praia da Vitória,100,PT,1713758989,91,38.7333,-27.0667,59.05,5.44
150,Dunedin,13,NZ,1713758776,58,-45.8742,170.5036,52.65,17.31
151,Ust-Nera,97,RU,1713758990,89,64.5667,143.2,33.3,2.59
152,Zapolyarnyy,63,RU,1713758990,91,69.4154,30.8136,7.23,7.18
153,Tinajo,84,ES,1713758991,76,29.0788,-13.7081,66.11,16.75
154,Severo-Yeniseyskiy,100,RU,1713758992,91,60.3725,93.0408,28.58,7.87
155,Weno,88,FM,1713758392,78,7.4515,151.8468,84.18,12.66
156,Tazovsky,93,RU,1713758993,91,67.4667,78.7,2.66,9.78
157,Touros,100,BR,1713758393,92,-5.1989,-35.4608,77.92,7.43
158,Castillos,100,UY,1713758394,98,-34.1667,-53.8333,62.4,11.5
159,Ati,12,TD,1713758395,13,13.2154,18.3353,83.91,8.14
160,Capitão Poço,100,BR,1713758396,97,-1.7464,-47.0594,74.71,2.33
161,Flin Flon,56,CA,1713758398,98,54.7682,-101.865,34.95,8.7
162,Lihue,39,US,1713758239,70,21.9789,-159.3672,72.54,14.92
163,Kapuskasing,75,CA,1713758399,72,49.4169,-82.4331,17.64,0.2
164,Skagen,23,DK,1713758400,64,57.7209,10.5839,37.08,14.25
165,Ambalangoda,99,LK,1713758401,70,6.2355,80.0538,85.78,4.9
166,Līsakovsk,31,KZ,1713758402,50,52.5369,62.4936,69.01,4.61
167,La Sarre,31,CA,1713758403,66,48.8002,-79.1996,14.95,7.43
168,Tiksi,100,RU,1713758405,94,71.6872,128.8694,22.59,13.11
169,Orivesi,81,FI,1713758406,88,61.6777,24.3572,20.44,9.89
170,Petropavlovsk-Kamchatskiy,27,RU,1713758408,75,53.0452,158.6483,36.01,3.74
171,Birao,35,CF,1713758409,52,10.2849,22.7882,80.1,3.91
172,Chernogorsk,100,RU,1713758410,59,53.8236,91.2842,53.73,18.92
173,Antsiranana,100,MG,1713758412,84,-12.2787,49.2917,79.18,10.25
174,Swakopmund,0,NA,1713758413,74,-22.6833,14.5333,63.19,4.18
175,Oranjemund,96,NA,1713758414,81,-28.55,16.4333,60.15,1.3
176,Idfu,0,EG,1713758414,21,24.9803,32.8747,75.22,5.66
177,Magadan,29,RU,1713758415,90,59.5667,150.8,30.99,2.86
178,Richards Bay,32,ZA,1713758416,95,-28.783,32.0377,68.63,7.16
179,Laojunmiao,0,CN,1713758417,19,39.8333,97.7333,46.81,6.62
180,Akbarābād,93,IR,1713758418,37,29.2464,52.7793,65.35,2.19
181,Hermanus,1,ZA,1713758419,84,-34.4187,19.2345,58.91,6.06
182,Dāmghān,64,IR,1713758420,22,36.1683,54.348,70.74,1.32
183,George Town,100,MY,1713758421,71,5.4112,100.3354,86.63,2.24
184,Laayoune,100,EH,1713758422,84,27.1622,-13.2032,62.42,6.13
185,Nova Sintra,96,CV,1713758423,71,14.8667,-24.7167,72.97,15.82
186,Mossamedes,63,AO,1713758424,73,-15.1961,12.1522,76.73,6.76
187,Afaahiti,33,PF,1713758424,76,-17.75,-149.2833,80.74,0.98
188,Beryozovo,15,RU,1713758425,68,63.9381,65.0419,13.33,6.89
189,Malango,51,ID,1713758426,54,-2.9627,119.9001,86.22,3.69
190,Mar del Plata,100,AR,1713758400,58,-38.0023,-57.5575,55.72,12.8
191,Anadyr,100,RU,1713758428,72,64.75,177.4833,19.18,8.37
192,Uturoa,29,PF,1713758429,70,-16.7333,-151.4333,83.91,2.86
193,Iqaluit,86,CA,1713758430,98,63.7506,-68.5145,-0.51,4.76
194,Vilyuchinsk,67,RU,1713758431,78,52.9306,158.4028,37.51,1.9
195,San Luis de la Loma,0,MX,1713758432,69,17.2706,-100.8939,76.51,1.07
196,Kristiansund,74,NO,1713758433,63,63.1115,7.732,39.7,6.38
197,Jamestown,4,US,1713758434,81,42.097,-79.2353,30.06,4.41
198,Turan,24,VN,1713758413,76,16.0678,108.2208,82.38,19.3
199,Pathein,52,MM,1713758435,44,16.7833,94.7333,95.11,12.82
200,Sho'rchi,99,UZ,1713758436,53,38.0141,67.7899,71.55,6.33
201,La Passe,1,FR,1713758437,85,45.5549,-0.8967,38.62,11.45
202,Karasburg,76,NA,1713758438,27,-28.0167,18.75,66.6,7.78
203,Mil’kovo,99,RU,1713758439,94,55.6078,37.7956,54.91,11.18
204,Villagarzón,100,CO,1713758440,97,1.0375,-76.6267,70.83,3.65
205,Ola,33,RU,1713758441,89,59.5833,151.2833,29.8,2.86
206,San Antonio de Palé,95,GQ,1713758443,79,-1.4014,5.6325,83.79,3.78
207,Sinop Province,0,TR,1713758443,62,41.7711,34.8709,53.11,12.39
208,Cabo San Lucas,0,MX,1713758428,61,22.8909,-109.9124,71.42,14.07
209,Nabire,68,ID,1713758445,69,-3.3667,135.4833,86.29,6.26
210,Hoopstad,76,ZA,1713758446,38,-27.8327,25.9083,61.97,6.93
211,Bela Vista,44,BR,1713758447,67,-22.1089,-56.5211,78.55,4.36
212,Avarua,43,CK,1713758448,74,-21.2078,-159.775,78.71,15.19
213,Igarka,100,RU,1713758449,87,67.4667,86.5833,12.33,6.67
214,Starkville,0,US,1713758409,76,33.4504,-88.8184,43.54,5.01
215,Örnsköldsvik,5,SE,1713758450,78,63.2909,18.7153,22.15,6.49
216,Salinas,9,US,1713758451,90,36.6777,-121.6555,52.0,2.77
217,Şalākhid,0,SY,1713758452,33,32.8727,36.5727,56.59,6.73
218,Enewetak,65,MH,1713758453,78,11.3474,162.3373,82.09,16.04
219,Karratha,1,AU,1713758454,28,-20.7377,116.8463,85.08,15.19
220,Tual,98,ID,1713758455,70,-5.6667,132.75,84.94,6.82
221,Island Harbour,89,GB,1713758456,82,50.724,-1.2758,40.08,7.96
222,Torghay,0,KZ,1713758457,44,49.6339,63.4981,69.76,16.08
223,Hithadhoo,89,MV,1713758457,71,-0.6,73.0833,84.65,3.33
224,Vikhorevka,99,RU,1713758458,55,56.1201,101.1636,38.53,9.22
225,Badger,58,US,1713758459,88,64.8,-147.5333,42.48,3.69
226,Pointe Michel,52,DM,1713758460,68,15.25,-61.3833,81.63,11.9
227,Yichang,80,CN,1713758416,62,30.7144,111.2847,73.65,3.96
228,Necochea,100,AR,1713758462,63,-38.5473,-58.7368,53.82,8.43
229,Aykhal,100,RU,1713758463,100,66.0,111.5,33.15,6.53
230,Cockburn Town,6,TC,1713758464,74,21.4612,-71.1419,78.1,19.55
231,Ancud,100,CL,1713758465,81,-41.8697,-73.8203,45.99,5.53
232,Mount Gambier,1,AU,1713758207,24,-37.8333,140.7667,72.97,7.45
233,Ghadames,82,LY,1713758466,34,30.1337,9.5007,70.34,11.68
234,Chak Five Hundred Seventy-five,73,PK,1713758468,23,31.55,73.8333,87.28,5.21
235,Tafresh,90,IR,1713758469,52,34.692,50.013,56.08,1.95
236,Udachny,100,RU,1713758470,100,66.4167,112.4,34.18,8.37
237,Belleville,5,CA,1713758471,83,44.1788,-77.3705,35.31,10.18
238,Nueva Esperanza,18,HN,1713758471,94,15.2667,-87.6,75.74,0.83
239,Laikit,61,ID,1713758472,73,1.4792,124.9735,85.12,1.86
240,Kingston,1,JM,1713758473,88,17.997,-76.7936,74.07,1.97
241,Greenville,100,US,1713758474,92,35.6127,-77.3663,48.43,8.1
242,Ålesund,100,NO,1713758475,63,62.4723,6.1549,40.91,5.41
243,Port Lincoln,3,AU,1713758476,38,-34.7333,135.8667,72.25,4.32
244,Katsuura,100,JP,1713758477,91,35.1333,140.3,61.27,17.38
245,Puerto Aisén,43,CL,1713758478,95,-45.4,-72.7,33.6,1.77
246,Leava,99,WF,1713758479,77,-14.3,-178.1667,84.47,8.16
247,Bol,41,TD,1713758481,41,13.4586,14.7147,82.44,10.74
248,Saint-François,8,FR,1713758482,96,46.4154,3.9054,26.92,5.08
249,Ogoja,100,NG,1713758483,87,6.6547,8.7976,77.9,6.49
250,Whitehorse,10,CA,1713758484,78,60.7161,-135.0538,38.5,6.6
251,Okehampton,64,GB,1713758485,79,50.7384,-4.0016,40.5,1.45
252,Argos,98,GR,1713758486,66,37.6333,22.7333,55.18,2.66
253,Galliano,0,US,1713758487,69,29.4422,-90.2992,60.19,13.29
254,Byron Bay,62,AU,1713758488,57,-28.65,153.6167,71.6,13.71
255,Coahuayana de Hidalgo,0,MX,1713758489,88,18.7,-103.6583,70.03,2.01
256,Hadibu,43,YE,1713758490,71,12.65,54.0333,82.58,2.42
257,Tobatí,56,PY,1713758491,76,-25.25,-57.0667,74.61,4.83
258,Krasnyy Chikoy,100,RU,1713758492,58,50.3643,108.7512,40.05,14.03
259,Qaryat Sulūq,100,LY,1713758493,26,31.6682,20.2521,75.09,22.06
260,Saint-Philippe,2,RE,1713758493,79,-21.3585,55.7679,79.68,3.62
261,Hammerfest,14,NO,1713758494,88,70.6634,23.6821,19.42,14.45
262,Maun,0,BW,1713758495,46,-19.9833,23.4167,64.35,5.99
263,Puerto San José,50,GT,1713758496,71,13.9256,-90.8244,84.43,4.41
264,Suvorov,100,RU,1713758497,80,54.1223,36.4966,47.7,12.08
265,Sungailiat,30,ID,1713758499,75,-1.85,106.1333,86.16,4.47
266,Guangyuan,100,CN,1713758500,69,32.442,105.823,68.43,3.91
267,Nemuro,95,JP,1713758501,92,43.3236,145.575,36.7,11.34
268,Walvis Bay,0,NA,1713758502,56,-22.9575,14.5053,66.92,9.13
269,Syanno,91,BY,1713758503,95,54.8106,29.7069,48.18,9.78
270,Adrar,0,MR,1713758504,23,20.5022,-10.0711,71.64,10.04
271,Turpan,0,CN,1713758505,12,42.9333,89.1667,82.69,12.21
272,Gornyye Klyuchi,100,RU,1713758506,45,45.25,133.5,65.53,3.44
273,Akureyri,90,IS,1713758507,64,65.6835,-18.0878,36.23,9.57
274,Dudinka,94,RU,1713758508,90,69.4058,86.1778,2.57,2.1
275,Coquimbo,100,CL,1713758508,78,-29.9533,-71.3436,61.72,2.98
276,Nuriootpa,0,AU,1713758509,15,-34.4833,139.0,77.02,8.48
277,Strezhevoy,85,RU,1713758510,81,60.7333,77.5889,26.02,14.72
278,Kosan,88,KP,1713758511,61,38.8558,127.4181,60.08,7.76
279,Oodweyne,100,SO,1713758512,68,9.4092,45.064,75.27,8.79
280,Khedbrahma,0,IN,1713758513,36,24.0333,73.05,86.11,6.46
281,Ulan-Ude,98,RU,1713758514,49,51.8261,107.6098,43.65,12.15
282,Gopālpur,77,IN,1713758515,52,19.2667,84.9167,91.71,8.57
283,Marau,0,BR,1713758516,87,-28.4492,-52.2,56.1,3.36
284,Kāzerūn,100,IR,1713758517,30,29.6195,51.6541,74.68,3.6
285,Edgewater,74,US,1713758518,83,28.9889,-80.9023,72.05,9.04
286,Sydney,45,AU,1713758242,57,-33.8679,151.2073,69.6,5.53
287,Rio Grande,98,BR,1713758519,86,-32.035,-52.0986,67.17,5.39
288,Okhotsk,100,RU,1713758521,87,59.3833,143.3,32.99,6.08
289,Olovyannaya,100,RU,1713758522,99,50.95,115.5667,35.98,16.91
290,Vuktyl,100,RU,1713758523,57,63.8567,57.3094,17.26,11.25
291,Vorgashor,98,RU,1713758524,93,67.5833,63.95,5.94,10.42
292,Yemva,99,RU,1713758525,75,62.59,50.8594,31.62,6.53
293,São Félix do Xingu,98,BR,1713758526,98,-6.6447,-51.995,72.72,1.5
